recording;score
Itgo4T2_20220131_050000.wav;0.242365822
Itgo4T2_20220131_045000.wav;0.347213181
Itgo4T2_20220131_053000.wav;0.210221598
Itgo4T2_20220131_194000.wav;0.227760925
Itgo4T2_20220131_191000.wav;0.261205459
Itgo4T2_20220131_180000.wav;0.218898147
Itgo4T2_20220131_193000.wav;0.218358052
Itgo4T2_20220131_231000.wav;0.286184522
Itgo4T2_20220131_184000.wav;0.262771313
Itgo4T2_20220131_195000.wav;0.239845382
Itgo4T2_20220131_190000.wav;0.260800797
Itgo4T2_20220131_200000.wav;0.224031759
Itgo4T2_20220131_192000.wav;0.267841121
Itgo4T2_20220131_205000.wav;0.222752886
Itgo4T2_20220131_203000.wav;0.200178756
Itgo4T2_20220131_204000.wav;0.22195533
Itgo4T2_20220131_022000.wav;0.331420334
Itgo4T2_20220201_032000.wav;0.283883873
Itgo4T2_20220201_045000.wav;0.231317001
Itgo4T2_20220201_051000.wav;0.274403808
Itgo4T2_20220201_053000.wav;0.253182453
Itgo4T2_20220201_054000.wav;0.286420266
Itgo4T2_20220201_190000.wav;0.273888903
Itgo4T2_20220201_181000.wav;0.2159576
Itgo4T2_20220201_191000.wav;0.212958146
Itgo4T2_20220201_180000.wav;0.218441914
Itgo4T2_20220201_204000.wav;0.293127647
Itgo4T2_20220201_233000.wav;0.331615934
Itgo4T2_20220202_032000.wav;0.282142
Itgo4T2_20220202_034000.wav;0.322046755
Itgo4T2_20220202_033000.wav;0.315107196
Itgo4T2_20220202_042000.wav;0.333220848
Itgo4T2_20220202_031000.wav;0.250979719
Itgo4T2_20220202_035000.wav;0.340209026
Itgo4T2_20220202_043000.wav;0.32454222
Itgo4T2_20220202_041000.wav;0.306785848
Itgo4T2_20220202_053000.wav;0.208184219
Itgo4T2_20220202_052000.wav;0.220860391
Itgo4T2_20220202_192000.wav;0.266493366
Itgo4T2_20220202_195000.wav;0.208488663
Itgo4T2_20220202_232000.wav;0.201306568
Itgo4T2_20220202_190000.wav;0.349525577
Itgo4T2_20220202_201000.wav;0.292144197
Itgo4T2_20220203_024000.wav;0.213672254
Itgo4T2_20220203_030000.wav;0.227821201
Itgo4T2_20220202_022000.wav;0.21536863
Itgo4T2_20220203_022000.wav;0.214641796
Itgo4T2_20220203_052000.wav;0.217226955
Itgo4T2_20220209_050000.wav;0.221451155
Itgo4T2_20220209_045000.wav;0.223008897
Itgo4T2_20220209_184000.wav;0.20478275
Itgo4T2_20220209_192000.wav;0.400237636
Itgo4T2_20220209_181000.wav;0.220378962
Itgo4T2_20220209_205000.wav;0.213035192
Itgo4T2_20220209_215000.wav;0.27570871
Itgo4T2_20220209_224000.wav;0.27528173
Itgo4T2_20220209_020000.wav;0.318412423
Itgo4T2_20220209_000000.wav;0.223165045
Itgo4T2_20220209_032000.wav;0.209709127
Itgo4T2_20220209_030000.wav;0.312242667
Itgo4T2_20220209_024000.wav;0.372302592
Itgo4T2_20220209_001000.wav;0.20005101
Itgo4T2_20220209_003000.wav;0.299482125
Itgo4T2_20220209_025000.wav;0.280514424
Itgo4T2_20220209_035000.wav;0.207654768
Itgo4T2_20220211_235100.wav;0.202709673
Itgo4T2_20220203_055000.wav;0.327622436
Itgo4T2_20220203_023000.wav;0.255472212
Itgo4T2_20220203_053000.wav;0.22374822
Itgo4T2_20220203_181000.wav;0.230017947
Itgo4T2_20220203_192000.wav;0.227644117
Itgo4T2_20220203_203000.wav;0.291083136
Itgo4T2_20220203_190000.wav;0.223257687
Itgo4T2_20220203_204000.wav;0.225360616
Itgo4T2_20220203_205000.wav;0.2080988
Itgo4T2_20220203_214000.wav;0.20552304
Itgo4T2_20220203_210000.wav;0.301598367
Itgo4T2_20220203_232000.wav;0.292417259
Itgo4T2_20220203_000000.wav;0.273506658
