recording;score
Itgo4T2_20220210_235100.wav;0.200048812
Itgo4T2_20220207_043000.wav;0.222332102
Itgo4T2_20220202_012000.wav;0.224490791
Itgo4T2_20220205_181000.wav;0.225017217
Itgo4T2_20220202_044000.wav;0.22527517
Itgo4T2_20220204_050000.wav;0.225313069
Itgo4T2_20220207_055000.wav;0.225853029
Itgo4T2_20220208_200000.wav;0.226523193
Itgo4T2_20220203_035000.wav;0.226752715
Itgo4T2_20220207_033000.wav;0.227068829
Itgo4T2_20220209_054000.wav;0.227186745
Itgo4T2_20220204_052000.wav;0.227292602
Itgo4T2_20220202_010000.wav;0.227414284
Itgo4T2_20220201_015000.wav;0.227475364
Itgo4T2_20220208_181000.wav;0.227565917
Itgo4T2_20220201_000000.wav;0.22768762
Itgo4T2_20220202_205000.wav;0.227697897
Itgo4T2_20220208_205000.wav;0.227709817
Itgo4T2_20220206_191000.wav;0.227917989
Itgo4T2_20220206_030000.wav;0.228254669
Itgo4T2_20220202_015000.wav;0.228304378
Itgo4T2_20220205_042000.wav;0.228325427
Itgo4T2_20220206_031000.wav;0.22833302
Itgo4T2_20220208_043000.wav;0.228373413
Itgo4T2_20220206_185000.wav;0.228490751
Itgo4T2_20220205_202000.wav;0.228582195
Itgo4T2_20220208_042000.wav;0.228597843
Itgo4T2_20220203_185000.wav;0.228598524
Itgo4T2_20220207_054000.wav;0.228620165
Itgo4T2_20220202_180000.wav;0.228674968
Itgo4T2_20220206_043000.wav;0.228704237
Itgo4T2_20220131_030000.wav;0.228788356
Itgo4T2_20220131_035000.wav;0.228814077
Itgo4T2_20220209_181000.wav;0.228841996
Itgo4T2_20220208_021000.wav;0.228876944
Itgo4T2_20220201_055000.wav;0.228880205
Itgo4T2_20220202_053000.wav;0.228916613
Itgo4T2_20220206_055000.wav;0.229049725
Itgo4T2_20220207_034000.wav;0.229062142
Itgo4T2_20220207_014000.wav;0.229099282
Itgo4T2_20220205_031000.wav;0.22915028
Itgo4T2_20220206_193000.wav;0.229159852
Itgo4T2_20220208_203000.wav;0.229179501
Itgo4T2_20220209_045000.wav;0.229194727
Itgo4T2_20220201_212000.wav;0.229238225
Itgo4T2_20220205_054000.wav;0.229300786
Itgo4T2_20220201_230000.wav;0.22932003
Itgo4T2_20220207_182000.wav;0.229378771
Itgo4T2_20220201_040000.wav;0.229406873
Itgo4T2_20220209_003000.wav;0.229423881
Itgo4T2_20220202_190000.wav;0.229428725
Itgo4T2_20220202_231000.wav;0.229446695
Itgo4T2_20220209_035000.wav;0.229450857
Itgo4T2_20220131_203000.wav;0.229464429
Itgo4T2_20220201_181000.wav;0.229521182
Itgo4T2_20220203_190000.wav;0.229576015
Itgo4T2_20220206_192000.wav;0.229588213
Itgo4T2_20220203_182000.wav;0.229593079
Itgo4T2_20220207_012000.wav;0.229606324
Itgo4T2_20220131_055000.wav;0.229628998
Itgo4T2_20220207_002000.wav;0.229668544
Itgo4T2_20220131_183000.wav;0.229691168
Itgo4T2_20220206_051000.wav;0.229703615
Itgo4T2_20220201_045000.wav;0.229758916
Itgo4T2_20220204_211000.wav;0.229776294
Itgo4T2_20220202_005000.wav;0.229788914
Itgo4T2_20220207_193000.wav;0.22988908
Itgo4T2_20220131_014000.wav;0.229913453
Itgo4T2_20220208_052000.wav;0.229982653
Itgo4T2_20220204_034000.wav;0.229993757
Itgo4T2_20220206_203000.wav;0.229998151
Itgo4T2_20220131_200000.wav;0.230001015
Itgo4T2_20220204_040000.wav;0.230020478
Itgo4T2_20220207_000000.wav;0.23005079
Itgo4T2_20220131_043000.wav;0.230051923
Itgo4T2_20220203_021000.wav;0.230070972
Itgo4T2_20220209_042000.wav;0.230085136
Itgo4T2_20220207_003000.wav;0.23009038
Itgo4T2_20220202_215000.wav;0.230117304
Itgo4T2_20220209_182000.wav;0.230136009
Itgo4T2_20220205_053000.wav;0.230204326
Itgo4T2_20220202_011000.wav;0.230243954
Itgo4T2_20220201_213000.wav;0.230253241
Itgo4T2_20220205_213000.wav;0.230266709
Itgo4T2_20220205_033000.wav;0.230281476
Itgo4T2_20220208_185000.wav;0.230284808
Itgo4T2_20220204_004000.wav;0.230298512
Itgo4T2_20220209_055000.wav;0.230330741
Itgo4T2_20220209_203000.wav;0.230330805
Itgo4T2_20220204_220000.wav;0.230344803
Itgo4T2_20220206_052000.wav;0.230393779
Itgo4T2_20220205_180000.wav;0.230423666
Itgo4T2_20220203_051000.wav;0.230461183
Itgo4T2_20220131_020000.wav;0.230477052
Itgo4T2_20220201_035000.wav;0.230501447
Itgo4T2_20220205_225000.wav;0.23050224
Itgo4T2_20220206_213000.wav;0.230507844
Itgo4T2_20220206_190000.wav;0.23052087
Itgo4T2_20220206_040000.wav;0.230524323
Itgo4T2_20220205_183000.wav;0.230527454
